time;station;AMB_TEMP;CH4;CO
01/01/2015;0:00;Banqiao;16;2:01
01/01/2015;1:00;Banqiao;16;2:01
01/01/2015;2:00;Banqiao;16;2:01
01/01/2015;3:00;Banqiao;15;2
01/01/2015;4:00;Banqiao;15;2
01/01/2015;5:00;Banqiao;14;2
01/01/2015;6:00;Banqiao;14;2
01/01/2015;7:00;Banqiao;14;2
01/01/2015;8:00;Banqiao;14;2
01/01/2015;9:00;Banqiao;14;2
01/01/2015;10:00;Banqiao;15;2
01/01/2015;11:00;Banqiao;14;2
01/01/2015;12:00;Banqiao;15;2
01/01/2015;13:00;Banqiao;14;2
01/01/2015;14:00;Banqiao;14;2
01/01/2015;15:00;Banqiao;13;2
01/01/2015;16:00;Banqiao;13;2
01/01/2015;17:00;Banqiao;13;2
01/01/2015;18:00;Banqiao;13;2
01/01/2015;19:00;Banqiao;13;2
01/01/2015;20:00;Banqiao;13;2
01/01/2015;21:00;Banqiao;13;2
01/01/2015;22:00;Banqiao;13;2
01/01/2015;23:00;Banqiao;13;2
02/01/2015;0:00;Banqiao;13;2
02/01/2015;1:00;Banqiao;13;2
02/01/2015;2:00;Banqiao;13;2
02/01/2015;3:00;Banqiao;13;2
02/01/2015;4:00;Banqiao;13;2
02/01/2015;5:00;Banqiao;13;2
02/01/2015;6:00;Banqiao;13;2
02/01/2015;7:00;Banqiao;13;2
02/01/2015;8:00;Banqiao;14;1:09
02/01/2015;9:00;Banqiao;15;1:09
02/01/2015;10:00;Banqiao;16;1:09
02/01/2015;11:00;Banqiao;16;1:09
02/01/2015;12:00;Banqiao;17;1:09
02/01/2015;13:00;Banqiao;17;1:09
02/01/2015;14:00;Banqiao;17;1:09
02/01/2015;15:00;Banqiao;16;1:09
02/01/2015;16:00;Banqiao;16;1:09
02/01/2015;17:00;Banqiao;15;1:09
02/01/2015;18:00;Banqiao;15;2
02/01/2015;19:00;Banqiao;15;2
02/01/2015;20:00;Banqiao;14;2
02/01/2015;21:00;Banqiao;14;1:09
02/01/2015;22:00;Banqiao;14;1:09
02/01/2015;23:00;Banqiao;14;1:09
03/01/2015;0:00;Banqiao;14;2
03/01/2015;1:00;Banqiao;14;2
03/01/2015;2:00;Banqiao;13;2
03/01/2015;3:00;Banqiao;14;2
03/01/2015;4:00;Banqiao;14;2
03/01/2015;5:00;Banqiao;14;2
03/01/2015;6:00;Banqiao;14;1:09
03/01/2015;7:00;Banqiao;14;2
03/01/2015;8:00;Banqiao;16;2
03/01/2015;9:00;Banqiao;17;2
03/01/2015;10:00;Banqiao;19;2
03/01/2015;11:00;Banqiao;20;1:09
03/01/2015;12:00;Banqiao;21;1:09
03/01/2015;13:00;Banqiao;21;1:09
03/01/2015;14:00;Banqiao;21;1:09
03/01/2015;15:00;Banqiao;20;1:09
03/01/2015;16:00;Banqiao;20;1:09
03/01/2015;17:00;Banqiao;19;2
03/01/2015;18:00;Banqiao;18;2
03/01/2015;19:00;Banqiao;18;2:01
03/01/2015;20:00;Banqiao;18;2
03/01/2015;21:00;Banqiao;17;2
03/01/2015;22:00;Banqiao;17;2
03/01/2015;23:00;Banqiao;15;2:02
04/01/2015;0:00;Banqiao;15;2:02
04/01/2015;1:00;Banqiao;14;2:02
04/01/2015;2:00;Banqiao;14;2:02
04/01/2015;3:00;Banqiao;14;2:02
04/01/2015;4:00;Banqiao;13;2:03
04/01/2015;5:00;Banqiao;13;2:03
04/01/2015;6:00;Banqiao;13;2:04
04/01/2015;7:00;Banqiao;13;2:04
04/01/2015;8:00;Banqiao;15;2:05
04/01/2015;9:00;Banqiao;17;2:04
04/01/2015;10:00;Banqiao;19;2:03
04/01/2015;11:00;Banqiao;21;2:01
04/01/2015;12:00;Banqiao;23;2
04/01/2015;13:00;Banqiao;22;2
04/01/2015;14:00;Banqiao;22;2
04/01/2015;15:00;Banqiao;22;2
04/01/2015;16:00;Banqiao;20;2
04/01/2015;17:00;Banqiao;19;2:01
04/01/2015;18:00;Banqiao;19;2:02
04/01/2015;19:00;Banqiao;18;2:02
04/01/2015;20:00;Banqiao;18;2:04
04/01/2015;21:00;Banqiao;17;2:05
04/01/2015;22:00;Banqiao;17;2:07
04/01/2015;23:00;Banqiao;17;2:01
05/01/2015;0:00;Banqiao;17;2:03
05/01/2015;1:00;Banqiao;16;2:09
05/01/2015;2:00;Banqiao;15;2:08
05/01/2015;3:00;Banqiao;15;2:08
05/01/2015;4:00;Banqiao;15;2:08
05/01/2015;5:00;Banqiao;14;2:08
05/01/2015;6:00;Banqiao;14;2:04
05/01/2015;7:00;Banqiao;15;2:03
05/01/2015;8:00;Banqiao;16;2:02
05/01/2015;9:00;Banqiao;19;2:02
05/01/2015;10:00;Banqiao;21;2.2#
05/01/2015;11:00;Banqiao;23;2
05/01/2015;12:00;Banqiao;24;2:01
05/01/2015;13:00;Banqiao;23;2:01
05/01/2015;14:00;Banqiao;22;2:01
05/01/2015;15:00;Banqiao;22;2:02
05/01/2015;16:00;Banqiao;22;2:02
05/01/2015;17:00;Banqiao;21;2:05
05/01/2015;18:00;Banqiao;21;2:06
05/01/2015;19:00;Banqiao;20;2:05
05/01/2015;20:00;Banqiao;19;3:02
05/01/2015;21:00;Banqiao;18;2:07
05/01/2015;22:00;Banqiao;18;2:04
05/01/2015;23:00;Banqiao;18;2:05
06/01/2015;0:00;Banqiao;17;2:04
06/01/2015;1:00;Banqiao;17;2:03
06/01/2015;2:00;Banqiao;17;2:04
06/01/2015;3:00;Banqiao;17;2:04
06/01/2015;4:00;Banqiao;18;2:05
06/01/2015;5:00;Banqiao;18;2:06
06/01/2015;6:00;Banqiao;18;2:08
06/01/2015;7:00;Banqiao;18;3
06/01/2015;8:00;Banqiao;19;3:03
06/01/2015;9:00;Banqiao;21;2:04
06/01/2015;10:00;Banqiao;23;2
06/01/2015;11:00;Banqiao;23;2:01
06/01/2015;12:00;Banqiao;24;2
06/01/2015;13:00;Banqiao;24;2
06/01/2015;14:00;Banqiao;23;1:09
06/01/2015;15:00;Banqiao;22;1:09
06/01/2015;16:00;Banqiao;20;2
06/01/2015;17:00;Banqiao;19;2:01
06/01/2015;18:00;Banqiao;19;2:01
06/01/2015;19:00;Banqiao;19;2:01
06/01/2015;20:00;Banqiao;19;2
06/01/2015;21:00;Banqiao;18;2
06/01/2015;22:00;Banqiao;18;2
06/01/2015;23:00;Banqiao;18;2
07/01/2015;0:00;Banqiao;18;2
07/01/2015;1:00;Banqiao;18;2
07/01/2015;2:00;Banqiao;18;2
07/01/2015;3:00;Banqiao;18;2
07/01/2015;4:00;Banqiao;17;2
